Job Profile,Job URL,Company Name,Location
Field Service Manager - India,https://in.linkedin.com/jobs/view/field-service-manager-india-at-de-havilland-aircraft-of-canada-limited-3392082991?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=9Nz1dtruHftSSE3a1Kni3g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,De Havilland Aircraft of Canada Limited,"New Delhi, Delhi, India"
Remote Pilot Instructor,https://in.linkedin.com/jobs/view/remote-pilot-instructor-at-wave-aviators-aviation-academy-3361413064?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=z8b3cw3%2F3OduZHfLS5IMyA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Wave Aviators Aviation Academy,"Hyderabad, Telangana, India"
Commercial Pilot License - Ground Instructor,https://in.linkedin.com/jobs/view/commercial-pilot-license-ground-instructor-at-airline-prep-school-alps-3366396781?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=3uVLiFnrbEYSDqcjByjwVg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,AIRLINE PREP SCHOOL ALPS,"Pune, Maharashtra, India"
DGCA approved Drone Pilot Instructor / Master Instructor,https://in.linkedin.com/jobs/view/dgca-approved-drone-pilot-instructor-master-instructor-at-aeroaeon-avionics-3389141835?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=riQed%2BzE00twoTVfakYodA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Aeroaeon Avionics,"Raipur, Chhattisgarh, India"
Remote Pilot Instructor (Drone Instructor),https://in.linkedin.com/jobs/view/remote-pilot-instructor-drone-instructor-at-wave-aviators-aviation-academy-3387455690?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=OIGBRvwFTxJ4PmabGchIog%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Wave Aviators Aviation Academy,"Hyderabad, Telangana, India"
Remote Pilot Instructor DGCA Certified,https://in.linkedin.com/jobs/view/remote-pilot-instructor-dgca-certified-at-drone-tech-solutions-3389590832?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=MtLnoT%2BXUnDL5JP3Omn7Vg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Drone Tech Solutions,"Mumbai, Maharashtra, India"
Contributor Business Analyst,https://in.linkedin.com/jobs/view/contributor-business-analyst-at-cae-3379259117?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=DmVeOddkaiVZVan1bKaFuA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,CAE,"Bengaluru, Karnataka, India"
Instructor Ground Classes for DGCA CPL/ATPL exams,https://in.linkedin.com/jobs/view/instructor-ground-classes-for-dgca-cpl-atpl-exams-at-aviation-sierra-academy-3393846948?refId=VpymwMTwwDWgC4kyJsE4jg%3D%3D&trackingId=u2LlBi9%2Bswt4GZ%2Bn5MAvnQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Aviation Sierra Academy,"Saket, Delhi, India"
Manufacturing Engineer - Materials & processes,https://in.linkedin.com/jobs/view/manufacturing-engineer-materials-processes-at-gkn-aerospace-3384168346?refId=FDNjVvwIRx3R1B4UymGA3g%3D%3D&trackingId=s2Ipw8rYstY2L1toglnllw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,GKN Aerospace,"Bengaluru, Karnataka, India"
Materials Applications Engineer,https://in.linkedin.com/jobs/view/materials-applications-engineer-at-rolls-royce-3398519700?refId=FDNjVvwIRx3R1B4UymGA3g%3D%3D&trackingId=3PZr79blk0XylSJ2HpPcmA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Rolls-Royce,"Bengaluru, Karnataka, India"
